      10.2643    1.40181E-06     12.1444
      10.2651    1.39626E-06     12.1524
      10.2662    6.94196E-07     12.1638
      10.2678    1.37718E-06     12.1803
      10.2695    2.04807E-06     12.1978
      10.2712    1.35372E-06     12.2152
      10.2714    1.35205E-06     12.2177
      10.2719    1.34852E-06     12.2230
      10.2761    1.32019E-06     12.2664
      10.2784    6.52308E-07     12.2907
      10.2787    1.30293E-06     12.2933
      10.2789    6.50626E-07     12.2960
      10.2792    1.29957E-06     12.2986
      10.2928    6.05807E-07     12.4431
      10.3044    1.14053E-06     12.5691
      10.3106    1.10402E-06     12.6375
      10.3140    1.08437E-06     12.6753
      10.3171    1.06647E-06     12.7105
      10.3173    1.06519E-06     12.7131
      10.3189    1.05638E-06     12.7307
      10.3190    1.05588E-06     12.7317
      10.3202    1.04897E-06     12.7457
      10.3207    2.09291E-06     12.7508
      10.3219    1.55984E-06     12.7641
      10.3233    1.54776E-06     12.7807
      10.3238    2.05877E-06     12.7858
      10.3240    1.02815E-06     12.7883
      10.3247    1.02422E-06     12.7965
      10.3264    1.01509E-06     12.8156
      10.3268    1.01268E-06     12.8207
      10.3294    4.99348E-07     12.8504
      10.3297    9.97517E-07     12.8529
      10.3299    1.99268E-06     12.8555
      10.3301    9.95165E-07     12.8580
      10.3329    9.80348E-07     12.8902
      10.3361    9.63570E-07     12.9273
      10.3614    8.39752E-07     13.2271
      10.3639    8.27962E-07     13.2583
      10.3653    1.23241E-06     13.2753
      10.3665    2.44810E-06     13.2904
      10.3678    2.83555E-06     13.3064
      10.3691    1.60937E-06     13.3215
      10.3704    3.99458E-07     13.3374
      10.3949    6.95969E-07     13.6476
      10.3971    6.87478E-07     13.6756
      10.3996    6.77715E-07     13.7082
      10.4024    1.33351E-06     13.7455
      10.4045    6.58737E-07     13.7733
      10.4051    6.56708E-07     13.7804
      10.4070    6.49513E-07     13.8057
      10.4073    6.48185E-07     13.8104
      10.4098    6.39157E-07     13.8427
      10.4099    6.38507E-07     13.8451
      10.4122    6.30296E-07     13.8750
      10.4146    6.21599E-07     13.9071
      10.4229    1.48043E-07     14.0200
      10.4323    5.60453E-07     14.1492
      10.4399    5.35755E-07     14.2559
      10.4409    5.32600E-07     14.2699
      10.4414    2.65480E-07     14.2773
      10.4416    2.65226E-07     14.2796
      10.4418    5.29946E-07     14.2818
      10.4420    5.29271E-07     14.2849
      10.4430    5.25969E-07     14.2998
      10.4440    5.22891E-07     14.3138
      10.4450    5.19642E-07     14.3286
      10.4580    2.40394E-07     14.5154
      10.4642    4.62890E-07     14.6075
      10.4663    2.28561E-07     14.6381
      10.4664    4.56706E-07     14.6403
      10.4683    4.51449E-07     14.6686
      10.4686    9.01262E-07     14.6730
      10.4704    3.34266E-07     14.7000
      10.4705    2.22734E-07     14.7012
      10.4707    8.90131E-07     14.7034
      10.4742    4.35459E-07     14.7570
      10.4748    4.33817E-07     14.7663
      10.4767    4.28908E-07     14.7943
      10.4788    2.11660E-07     14.8267
      10.4897    1.97838E-07     14.9945
      10.4933    3.86719E-07     15.0518
      10.4971    1.88854E-07     15.1111
      10.4972    3.77386E-07     15.1133
      10.5010    1.84261E-07     15.1733
      10.5011    3.68350E-07     15.1744
      10.5036    7.25141E-07     15.2145
      10.5044    5.40863E-07     15.2285
      10.5046    4.50257E-08     15.2311
      10.5047    1.79951E-07     15.2332
      10.5049    5.39401E-07     15.2353
      10.5061    1.78374E-07     15.2556
      10.5185    3.29524E-07     15.4588
      10.5200    3.26385E-07     15.4834
      10.5217    3.22761E-07     15.5123
      10.5237    6.37353E-07     15.5452
      10.5253    3.15420E-07     15.5719
      10.5254    1.57583E-07     15.5740
      10.5255    3.14913E-07     15.5760
      10.5271    3.11708E-07     15.6026
      10.5287    1.54273E-07     15.6292
      10.5288    7.70472E-07     15.6322
      10.5304    3.05082E-07     15.6586
      10.5305    3.04941E-07     15.6598
      10.5320    1.50985E-07     15.6854
      10.5321    1.50816E-07     15.6883
      10.5323    3.01392E-07     15.6904
      10.5449    1.38667E-07     15.9095
      10.5480    2.71748E-07     15.9635
      10.5510    1.33155E-07     16.0174
      10.5512    2.65906E-07     16.0214
      10.5542    2.60624E-07     16.0751
      10.5544    2.60339E-07     16.0780
      10.5551    2.59133E-07     16.0905
      10.5558    2.57857E-07     16.1037
      10.5574    1.27549E-07     16.1326
      10.5628    2.46049E-07     16.2300
      10.5673    2.38686E-07     16.3124
      10.5688    2.36124E-07     16.3418
      10.5704    2.33599E-07     16.3711
      10.5719    2.31278E-07     16.3984
      10.5720    2.31110E-07     16.4003
      10.5733    2.28987E-07     16.4256
      10.5748    2.26726E-07     16.4528
      10.5912    1.01205E-07     16.7668
      10.5913    2.02270E-07     16.7687
      10.5967    9.73734E-08     16.8750
      10.5968    1.94613E-07     16.8769
      10.5978    1.93249E-07     16.8967
      10.5996    1.90728E-07     16.9338
      10.6069    1.81208E-07     17.0789
      10.6094    1.78035E-07     17.1292
      10.6120    1.74705E-07     17.1832
      10.6121    1.74590E-07     17.1851
      10.6145    1.71570E-07     17.2352
      10.6171    1.68400E-07     17.2888
      10.6313    7.59649E-08     17.5880
      10.6314    7.59171E-08     17.5898
      10.6401    3.55864E-08     17.7800
      10.6459    2.72620E-07     17.9089
      10.6471    1.35095E-07     17.9356
      10.6471    1.35177E-07     17.9338
      10.6482    1.34056E-07     17.9587
      10.6494    1.32867E-07     17.9854
      10.6576    6.24185E-08     18.1732
      10.6620    1.20799E-07     18.2731
      10.6662    5.84662E-08     18.3724
      10.6700    2.84109E-08     18.4600
      10.6741    5.50429E-08     18.5581
      10.6771    1.07554E-07     18.6302
      10.6781    1.06668E-07     18.6559
      10.6781    5.33638E-08     18.6542
      10.6801    5.25205E-08     18.7038
      10.6895    9.75703E-08     18.9352
      10.6913    9.61774E-08     18.9806
      10.6933    9.47089E-08     19.0294
      10.7274    7.18081E-08     19.9278
      10.7307    6.98691E-08     20.0190
      10.7815    1.12564E-08     21.5400
